序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
69,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,10,臺中市,東勢區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,1,1,5,4,5,1,13,16,2,9,1,1,C03,7,12,1,10,2,11,,16,16,1,22,9,C03,120.833718,24.25068,2
70,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,10,臺中市,神岡區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,A12,,,1,,2,,,23,,1,21,,A12,120.70941,24.259278,3
71,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,13,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,1,,11,,,16,,1,22,,C03,120.685089,24.161558,3
72,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,13,臺中市,南區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,2,1,10,5,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,13,12,44,16,1,22,1,C03,120.656752,24.113872,2
73,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,13,臺中市,豐原區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,4,4,1,4,5,1,16,6,3,10,3,4,B03,7,6,1,8,2,2,,6,6,1,22,8,B03,120.713066,24.245572,2
74,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,16,臺中市,西區,0,0,0,6,1,5,50,4,2,1,4,4,5,7,1,1,5,4,5,2,13,23,,,,,C03,,,1,,2,,,23,,1,22,,C03,120.670703,24.146143,3
75,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,16,臺中市,西屯區,0,2,0,6,1,5,50,3,1,1,4,4,5,7,4,4,10,5,5,2,16,6,2,9,3,4,C03,7,6,1,10,2,12,,6,6,1,22,8,C03,120.593438,24.180433,2
76,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,21,臺中市,南屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,17,,1,5,,B03,120.614044,24.139107,3
77,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,21,臺中市,西屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,12,,,,,B12,,,1,,2,,,12,,1,22,,B12,120.638966,24.190658,3
78,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,22,臺中市,大雅區,0,2,0,6,1,5,50,14,8,1,4,4,5,7,4,4,5,4,4,1,12,6,3,10,1,1,B03,7,10,1,8,2,8,,6,6,1,21,8,B03,120.644379,24.204973,2
79,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,23,臺中市,北區,0,0,0,6,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,,1,5,,B03,120.672084,24.158488,3
80,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,24,臺中市,烏日區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B12,,,1,,2,,,23,23,1,21,,B12,120.607297,24.110571,3
81,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,25,臺中市,大雅區,0,2,0,6,1,5,50,14,8,1,4,4,5,7,1,1,1,4,4,1,17,42,2,9,1,1,C03,7,9,1,10,2,14,,42,42,1,22,9,C03,120.646357,24.222846,2
82,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,25,臺中市,西屯區,0,1,0,6,1,5,30,4,1,1,4,4,5,7,1,3,10,5,5,2,16,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,22,8,C03,120.648495,24.182871,2
83,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,25,臺中市,神岡區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,21,,B03,120.692148,24.232509,3
84,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,27,臺中市,北屯區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,2,1,10,5,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,5,,6,6,1,5,1,B03,120.686626,24.197848,2
85,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,27,臺中市,大里區,0,1,0,7,1,5,50,4,2,1,5,4,5,7,1,1,5,5,5,2,13,16,3,10,1,1,C03,7,9,1,10,2,11,,16,16,1,22,8,C03,120.695,24.111426,2
86,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,28,臺中市,龍井區,0,0,0,6,,,50,,,,,,,,,,,,,,,18,,,,,C01,,,4,,11,,,18,18,1,22,,C01,120.586405,24.181469,3
87,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,29,臺中市,潭子區,0,1,0,6,1,5,60,3,1,1,4,4,5,7,4,4,10,5,5,2,17,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,22,8,C03,120.708398,24.230262,2
88,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,30,臺中市,南屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,22,,B03,120.646841,24.138713,3
89,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,31,臺中市,南屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,19,,,,,B03,,,1,,1,,,19,19,1,22,,B03,120.643751,24.142337,3
90,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,34,臺中市,潭子區,0,1,0,6,1,5,40,14,9,1,4,4,5,7,4,4,5,5,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,15,,19,19,1,22,8,B03,120.698289,24.197935,2
91,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,35,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,B03,,,1,,2,,,26,,1,22,,B03,120.715333,24.135883,3
92,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,38,臺中市,霧峰區,0,1,0,8,1,5,30,11,9,1,4,4,5,7,4,4,10,5,5,1,21,42,2,9,3,4,C03,7,9,1,10,2,11,,42,42,1,21,5,C03,120.680592,24.055844,2
93,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,45,臺中市,北區,0,3,0,7,1,5,50,3,2,1,5,4,5,7,1,1,5,4,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,13,,16,16,1,22,8,C03,120.680969,24.163061,2
94,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,45,臺中市,大里區,0,0,0,8,,,30,,,,,,,,,,,,,,,42,,,,,B12,,,1,,2,,,42,,1,22,,B12,120.692312,24.086737,3
95,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,46,臺中市,烏日區,0,1,0,6,1,5,50,3,2,1,4,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,5,,6,6,1,21,8,B03,120.629696,24.109163,2
96,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,48,臺中市,東區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,13,23,3,10,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.688865,24.132061,2
97,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,50,臺中市,大里區,0,1,0,7,1,5,40,3,1,1,5,4,5,7,1,1,10,5,5,2,17,23,2,9,1,1,C03,7,9,1,10,2,12,,23,23,1,5,8,C03,120.695702,24.104226,2
98,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,50,臺中市,豐原區,0,2,0,6,1,5,50,3,1,1,4,4,5,7,1,1,10,5,5,2,16,26,2,9,1,1,C03,7,5,1,10,2,14,,26,26,1,22,8,C03,120.707428,24.244088,2
99,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,53,臺中市,南屯區,0,1,0,6,1,5,40,14,7,1,4,4,5,7,4,4,5,5,4,2,16,19,3,10,1,1,C03,7,1,1,10,2,14,,19,19,1,5,8,C03,120.634034,24.155235,2
100,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,54,臺中市,大雅區,0,1,0,6,1,5,50,5,1,1,4,4,5,7,1,1,9,4,4,1,17,23,2,8,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.667663,24.215785,2
101,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,55,臺中市,龍井區,0,1,0,6,1,5,50,4,18,1,4,4,5,7,2,1,10,5,5,2,3,23,3,10,1,1,C03,7,9,1,10,2,11,,23,23,1,18,8,C03,120.583988,24.181992,2
102,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,57,臺中市,太平區,0,1,0,6,1,5,50,3,2,1,4,4,5,7,4,4,5,4,5,2,18,43,2,9,1,1,C03,7,9,1,10,2,14,,43,43,1,21,8,C03,120.735729,24.133717,2
103,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,8,58,臺中市,北屯區,0,1,0,6,1,5,30,3,1,1,4,4,5,7,3,1,10,5,5,2,17,6,3,10,1,1,B03,7,5,1,8,2,4,,6,6,1,7,8,B03,120.668083,24.192556,2
104,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,9,0,臺中市,西區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,18,43,2,9,1,1,C03,7,9,1,10,2,14,,43,43,1,20,8,C03,120.664164,24.140038,2
105,66000,387130000C,(04)23274275,(04)23288582,2023,6,1,9,0,臺中市,北屯區,0,1,0,7,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,18,23,2,9,1,1,C03,7,9,1,10,2,14,,23,23,1,22,8,C03,120.679674,24.188408,2
